,seller_id,seller_state
0,3442f8959a84dea7ee197c632cb2df15,SP
1,d1b65fc7debc3361ea86b5f14c68d2e2,SP
2,ce3ad9de960102d0677a81f5d0bb7b2d,RJ
3,c0f3eea2e14555b6faeea3dd58c1b1c3,SP
4,51a04a8a6bdcb23deccc82b0b80742cf,SP
5,c240c4061717ac1806ae6ee72be3533b,RJ
6,e49c26c3edfa46d227d5121a6b6e4d37,PE
7,1b938a7ec6ac5061a66a3766e0e75f90,SP
8,768a86e36ad6aae3d03ee3c6433d61df,SP
9,ccc4bbb5f32a6ab2b7066a4130f114e3,PR
10,8cb7c5ddf41f4d506eba76e9a4702a25,GO
11,a7a9b880c49781da66651ccf4ba9ac38,SP
12,8bd0f31cf0a614c658f6763bd02dea69,SP
13,05a48cc8859962767935ab9087417fbb,SP
14,7b8e8ec35bad4b0ef7e3963650b0a87b,SC
15,1444c08e64d55fb3c25f0f09c07ffcf2,BA
16,166e8f1381e09651983c38b1f6f91c11,SC
17,e38db885400cd35c71dfd162f2c1dbcf,DF
18,d2e753bb80b7d4faa77483ed00edc8ca,BA
19,f9ec7093df3a7b346b7bcf7864069ca3,SP
20,4e6015589b781adaa5ce7f1892d06bb1,SP
21,4cf490a58259286ada5ba8525ba9e84a,SP
22,f7496d659ca9fdaf323c0aae84176632,SP
23,2ff97219cb8622eaf3cd89b7d9c09824,SP
24,8bd0e3abda539b9479c4b44a691be1ec,RS
25,2a1348e9addc1af5aaa619b1a3679d6b,MG
26,2078fe5066350e7d220c0ad3a3bbc6c1,PR
27,116ccb1a1604bc88e4d234a8c23f33de,SP
28,430315b7bb4b6e4b3c978f9dfa9b0558,SP
29,406822777a0b9eb5c50e442dd4cd3ec5,SP
30,4dbd95a08b31ede5c82d3f861cb1ce1a,PR
31,e9e446d01bd10a97a8ffcfc4a3a20cb2,SP
32,d52cbce9845184537284a23c3bc3da0e,SC
33,d9a84e1403de8da0c3aa531d6d108ba6,SP
34,9c690ceacd5c66731bf443ea810195cb,MG
35,1f9ab4708f3056ede07124aad39a2554,SP
36,1961c3e1272bfeceb05d0b78b5bbfdaf,SP
37,d3e7d37c0df9aef383f3f2a15b0dddfb,PR
38,ec2e006556300a79a5a91e4876ab3a56,SP
39,b2a6d334e2833acea353624840e25a0e,SP
40,d3674f271c91f824f82d24d92011f669,DF
41,768de2a4fc06aacecb9a586ccc30746a,DF
42,a81466620e46a6970b22ef40379fdfc9,SC
43,5c030029b5916fed0986310385ec9009,SC
44,c0f783394e37cd9c9d7f5f81141450fa,SP
45,c353f8fc0ce8344999f17d578eb69a5e,RS
46,8444e55c1f13cd5c179851e5ca5ebd00,MG
47,28a26ebce31d5918b181ede016fd693b,MG
48,41ab63a91b8b264e8c8780368bf1dd5b,MG
49,8759e7aedd644f487315e5860962f162,SP
